,latitud,longitud,state
0,34.83796,-87.67176,AL
0,35.81782,-90.681514,AR
0,34.079964,-117.581533,CA
1,37.993037,-120.384172,CA
2,34.14809,-118.149327,CA
3,38.249603,-122.05444,CA
4,35.469759,-120.670534,CA
5,37.970647,-120.315022,CA
6,37.976636,-120.325847,CA
7,37.969719,-120.313952,CA
8,38.039266,-120.229458,CA
9,37.993037,-120.384172,CA
10,35.11794,-120.57553,CA
11,35.475498,-120.668912,CA
12,35.479061,-120.666509,CA
13,33.86886,-117.87181,CA
14,38.03902,-120.229234,CA
15,38.03902,-120.229234,CA
16,34.065723,-118.343835,CA
17,35.123786,-120.578373,CA
18,35.526183,-120.702636,CA
19,35.554004,-120.718985,CA
0,41.725602,-72.803415,CT
1,41.71981,-72.732514,CT
2,41.669057,-72.887606,CT
3,41.655865,-72.906566,CT
4,41.692742,-72.918406,CT
5,41.670957,-72.954841,CT
6,41.651793,-72.911769,CT
7,41.620264,-72.899098,CT
0,38.64154,-75.61294,DE
0,28.406616,-81.402245,FL
1,28.92755,-81.67005,FL
2,28.44443,-81.428817,FL
3,27.943694,-82.474432,FL
4,25.97431,-80.1473,FL
5,28.92755,-81.67005,FL
6,25.98339,-80.20739,FL
7,26.673186,-80.112823,FL
8,28.323993,-81.336909,FL
9,26.964634,-82.073783,FL
10,27.712736,-82.362667,FL
11,26.571364,-80.10404,FL
12,27.720787,-82.434342,FL
13,28.158434,-80.672542,FL
14,28.158434,-80.672542,FL
15,28.852204,-81.900887,FL
16,29.648882,-81.686637,FL
17,29.642104,-81.666519,FL
18,29.643441,-81.693881,FL
19,27.5895,-82.424959,FL
0,33.68496,-84.41035,GA
1,33.68676,-84.40777,GA
2,32.536846,-82.919766,GA
3,33.56378,-85.11356,GA
4,32.07125,-84.2302,GA
5,32.072605,-84.2335,GA
0,43.148376,-93.17354,IA
1,42.494471,-96.396187,IA
2,42.46347,-96.34668,IA
3,42.502863,-96.414067,IA
4,42.79058,-96.17405,IA
5,43.155939,-93.195132,IA
6,43.150563,-93.199326,IA
7,42.448009,-96.342167,IA
8,42.448009,-96.342167,IA
9,42.445864,-96.334267,IA
10,42.448009,-96.342167,IA
11,42.510764,-96.416895,IA
12,42.518617,-96.418634,IA
13,42.449778,-96.356657,IA
14,42.51861,-96.418517,IA
15,42.496668,-96.4039,IA
16,42.502312,-96.403854,IA
17,42.44759,-96.357832,IA
18,42.496028,-96.403036,IA
19,42.495862,-96.40356,IA
0,43.127009,-115.684232,ID
1,46.401338,-117.034087,ID
0,42.040356,-87.888855,IL
1,42.027033,-88.432893,IL
2,42.225698,-88.321296,IL
3,39.48294,-88.35255,IL
4,38.306851,-89.029532,IL
5,42.035534,-87.780241,IL
6,42.225698,-88.321296,IL
7,42.225698,-88.321296,IL
8,42.379766,-88.245046,IL
9,42.160992,-88.42936,IL
10,41.23994,-88.423734,IL
11,42.098189,-88.529854,IL
12,39.472687,-88.378673,IL
13,42.04071,-87.771874,IL
0,39.963769,-86.124457,IN
1,39.963435,-86.125266,IN
2,39.963435,-86.125266,IN
3,40.04591,-85.99882,IN
4,41.459439,-87.077667,IN
5,41.486405,-87.05631,IN
6,40.417106,-86.612749,IN
7,41.586365,-87.037951,IN
8,41.494882,-87.067088,IN
9,41.462309,-87.025855,IN
10,41.45782,-87.075932,IN
11,41.47561,-87.02767,IN
12,41.473826,-87.364192,IN
13,41.57623,-87.19453,IN
14,41.429914,-86.898051,IN
15,40.047454,-86.468017,IN
0,37.08755,-88.59666,KY
1,37.760898,-84.307878,KY
2,37.737024,-84.308133,KY
3,38.061434,-85.55109,KY
4,37.079194,-88.617258,KY
5,37.079194,-88.617258,KY
6,37.07925,-88.617233,KY
7,37.086266,-88.599957,KY
8,37.761589,-84.308261,KY
9,37.079194,-88.617258,KY
10,37.083348,-88.600877,KY
11,37.079194,-88.617258,KY
12,37.082243,-88.596587,KY
13,37.083022,-88.680455,KY
14,37.087048,-88.596558,KY
15,37.077287,-88.593294,KY
0,30.22028,-93.179523,LA
1,29.956484,-90.095759,LA
2,31.309152,-92.445396,LA
0,41.9296,-70.66282,MA
1,41.9296,-70.66282,MA
2,42.392218,-71.035534,MA
0,39.51001,-76.16426,MD
1,39.322788,-76.492129,MD
2,39.287751,-76.594144,MD
3,38.238206,-76.524873,MD
4,39.272884,-76.524225,MD
5,39.12242,-77.23845,MD
6,39.148176,-76.523259,MD
7,39.574073,-76.061641,MD
8,39.400051,-76.402775,MD
0,44.34249,-69.794355,ME
1,44.614867,-69.322944,ME
0,42.681394,-83.145014,MI
1,42.724479,-83.429251,MI
2,42.242401,-83.386627,MI
3,42.465092,-82.945362,MI
4,42.730491,-82.960349,MI
5,42.272335,-83.388468,MI
6,43.357484,-83.87846,MI
7,42.68231,-83.13319,MI
8,43.432292,-83.929671,MI
9,43.484416,-83.971994,MI
10,43.622099,-83.905029,MI
11,43.43167,-83.93932,MI
12,43.471055,-83.970063,MI
13,43.005653,-83.771972,MI
14,43.005653,-83.771972,MI
15,42.683327,-84.515226,MI
16,43.416553,-84.093848,MI
17,43.416509,-84.078465,MI
18,46.493738,-84.325154,MI
19,42.327043,-83.279464,MI
0,47.4455,-94.85204,MN
1,44.144441,-93.958695,MN
