,latitud,longitud,state
0,40.735863,-73.815763,AL
1,40.79829,-73.94042,AL
2,40.607175,-73.960565,AL
3,40.66541,-73.66054,AL
4,43.45131,-76.50797,AL
5,42.832648,-78.806255,AL
6,41.02941,-73.737995,AL
7,40.756781,-73.826428,AL
8,40.756781,-73.826428,AL
9,42.733242,-78.83956,AL
10,41.004284,-73.672337,AL
11,41.004284,-73.672337,AL
12,43.318819,-76.415413,AL
13,41.032592,-73.767478,AL
14,43.184324,-76.267014,AL
15,40.923283,-73.760255,AL
16,40.86476,-73.631712,AL
0,40.735863,-73.815763,AR
1,40.79829,-73.94042,AR
2,40.607175,-73.960565,AR
3,40.66541,-73.66054,AR
4,43.45131,-76.50797,AR
5,42.832648,-78.806255,AR
6,41.02941,-73.737995,AR
7,40.756781,-73.826428,AR
8,40.756781,-73.826428,AR
9,42.733242,-78.83956,AR
10,41.004284,-73.672337,AR
11,41.004284,-73.672337,AR
12,43.318819,-76.415413,AR
13,41.032592,-73.767478,AR
14,43.184324,-76.267014,AR
15,40.923283,-73.760255,AR
16,40.86476,-73.631712,AR
0,40.735863,-73.815763,AZ
1,40.79829,-73.94042,AZ
2,40.607175,-73.960565,AZ
3,40.66541,-73.66054,AZ
4,43.45131,-76.50797,AZ
5,42.832648,-78.806255,AZ
6,41.02941,-73.737995,AZ
7,40.756781,-73.826428,AZ
8,40.756781,-73.826428,AZ
9,42.733242,-78.83956,AZ
10,41.004284,-73.672337,AZ
11,41.004284,-73.672337,AZ
12,43.318819,-76.415413,AZ
13,41.032592,-73.767478,AZ
14,43.184324,-76.267014,AZ
15,40.923283,-73.760255,AZ
16,40.86476,-73.631712,AZ
0,40.735863,-73.815763,CA
1,40.79829,-73.94042,CA
2,40.607175,-73.960565,CA
3,40.66541,-73.66054,CA
4,43.45131,-76.50797,CA
5,42.832648,-78.806255,CA
6,41.02941,-73.737995,CA
7,40.756781,-73.826428,CA
8,40.756781,-73.826428,CA
9,42.733242,-78.83956,CA
10,41.004284,-73.672337,CA
11,41.004284,-73.672337,CA
12,43.318819,-76.415413,CA
13,41.032592,-73.767478,CA
14,43.184324,-76.267014,CA
15,40.923283,-73.760255,CA
16,40.86476,-73.631712,CA
0,40.735863,-73.815763,CO
1,40.79829,-73.94042,CO
2,40.607175,-73.960565,CO
3,40.66541,-73.66054,CO
4,43.45131,-76.50797,CO
5,42.832648,-78.806255,CO
6,41.02941,-73.737995,CO
7,40.756781,-73.826428,CO
8,40.756781,-73.826428,CO
9,42.733242,-78.83956,CO
10,41.004284,-73.672337,CO
11,41.004284,-73.672337,CO
12,43.318819,-76.415413,CO
13,41.032592,-73.767478,CO
14,43.184324,-76.267014,CO
15,40.923283,-73.760255,CO
16,40.86476,-73.631712,CO
0,40.735863,-73.815763,CT
1,40.79829,-73.94042,CT
2,40.607175,-73.960565,CT
3,40.66541,-73.66054,CT
4,43.45131,-76.50797,CT
5,42.832648,-78.806255,CT
6,41.02941,-73.737995,CT
7,40.756781,-73.826428,CT
8,40.756781,-73.826428,CT
9,42.733242,-78.83956,CT
10,41.004284,-73.672337,CT
11,41.004284,-73.672337,CT
12,43.318819,-76.415413,CT
13,41.032592,-73.767478,CT
14,43.184324,-76.267014,CT
15,40.923283,-73.760255,CT
16,40.86476,-73.631712,CT
0,40.735863,-73.815763,DC
1,40.79829,-73.94042,DC
2,40.607175,-73.960565,DC
3,40.66541,-73.66054,DC
4,43.45131,-76.50797,DC
5,42.832648,-78.806255,DC
6,41.02941,-73.737995,DC
7,40.756781,-73.826428,DC
8,40.756781,-73.826428,DC
9,42.733242,-78.83956,DC
10,41.004284,-73.672337,DC
11,41.004284,-73.672337,DC
12,43.318819,-76.415413,DC
13,41.032592,-73.767478,DC
14,43.184324,-76.267014,DC
15,40.923283,-73.760255,DC
16,40.86476,-73.631712,DC
0,40.735863,-73.815763,DE
1,40.79829,-73.94042,DE
2,40.607175,-73.960565,DE
3,40.66541,-73.66054,DE
4,43.45131,-76.50797,DE
5,42.832648,-78.806255,DE
6,41.02941,-73.737995,DE
7,40.756781,-73.826428,DE
8,40.756781,-73.826428,DE
9,42.733242,-78.83956,DE
10,41.004284,-73.672337,DE
11,41.004284,-73.672337,DE
12,43.318819,-76.415413,DE
13,41.032592,-73.767478,DE
14,43.184324,-76.267014,DE
15,40.923283,-73.760255,DE
16,40.86476,-73.631712,DE
