,latitud,longitud,state
0,34.83796,-87.67176,AL
0,34.079964,-117.581533,CA
1,34.14809,-118.149327,CA
2,35.11794,-120.57553,CA
3,35.479061,-120.666509,CA
4,33.86886,-117.87181,CA
5,35.123786,-120.578373,CA
6,35.526183,-120.702636,CA
7,35.51498,-120.69735,CA
8,35.51498,-120.69735,CA
9,35.51498,-120.69735,CA
10,35.51498,-120.69735,CA
11,35.51498,-120.69735,CA
0,41.725602,-72.803415,CT
1,41.71981,-72.732514,CT
0,28.44443,-81.428817,FL
1,27.943694,-82.474432,FL
2,25.97431,-80.1473,FL
3,26.673186,-80.112823,FL
4,28.323993,-81.336909,FL
5,26.964634,-82.073783,FL
6,26.571364,-80.10404,FL
7,27.720787,-82.434342,FL
8,28.158434,-80.672542,FL
9,28.158434,-80.672542,FL
10,28.852204,-81.900887,FL
0,32.536846,-82.919766,GA
1,32.07125,-84.2302,GA
2,32.072605,-84.2335,GA
0,43.148376,-93.17354,IA
1,42.494471,-96.396187,IA
2,42.46347,-96.34668,IA
3,42.502863,-96.414067,IA
4,42.79058,-96.17405,IA
5,43.155939,-93.195132,IA
6,43.150563,-93.199326,IA
7,42.448009,-96.342167,IA
8,42.448009,-96.342167,IA
9,42.445864,-96.334267,IA
10,42.448009,-96.342167,IA
11,42.510764,-96.416895,IA
12,42.518617,-96.418634,IA
13,42.449778,-96.356657,IA
14,42.51861,-96.418517,IA
15,42.496668,-96.4039,IA
16,42.502312,-96.403854,IA
17,42.44759,-96.357832,IA
18,42.496028,-96.403036,IA
19,42.495862,-96.40356,IA
0,42.225698,-88.321296,IL
1,39.48294,-88.35255,IL
2,42.035534,-87.780241,IL
3,42.225698,-88.321296,IL
4,42.225698,-88.321296,IL
5,42.379766,-88.245046,IL
6,42.160992,-88.42936,IL
7,42.098189,-88.529854,IL
8,39.472687,-88.378673,IL
9,42.04071,-87.771874,IL
0,39.963769,-86.124457,IN
1,39.963435,-86.125266,IN
2,39.963435,-86.125266,IN
3,41.486405,-87.05631,IN
4,40.417106,-86.612749,IN
5,41.586365,-87.037951,IN
6,41.494882,-87.067088,IN
7,41.462309,-87.025855,IN
8,41.47561,-87.02767,IN
9,41.473826,-87.364192,IN
10,41.57623,-87.19453,IN
11,40.047454,-86.468017,IN
0,37.760898,-84.307878,KY
1,38.061434,-85.55109,KY
2,37.079194,-88.617258,KY
3,37.079194,-88.617258,KY
4,37.07925,-88.617233,KY
5,37.079194,-88.617258,KY
6,37.083348,-88.600877,KY
7,37.079194,-88.617258,KY
8,37.082243,-88.596587,KY
9,37.087048,-88.596558,KY
0,42.392218,-71.035534,MA
0,44.34249,-69.794355,ME
0,42.681394,-83.145014,MI
1,42.724479,-83.429251,MI
2,43.357484,-83.87846,MI
3,42.68231,-83.13319,MI
4,43.432292,-83.929671,MI
5,43.484416,-83.971994,MI
6,43.622099,-83.905029,MI
7,43.43167,-83.93932,MI
8,43.471055,-83.970063,MI
9,43.005653,-83.771972,MI
10,43.005653,-83.771972,MI
11,43.416553,-84.093848,MI
0,47.4455,-94.85204,MN
1,44.167396,-93.998338,MN
2,47.491751,-94.881298,MN
3,44.166354,-93.981292,MN
4,44.167402,-93.998336,MN
5,45.573087,-93.225843,MN
6,45.573087,-93.225843,MN
7,45.573087,-93.225843,MN
8,45.573087,-93.225843,MN
9,45.573087,-93.225843,MN
10,45.573087,-93.225843,MN
11,45.573087,-93.225843,MN
12,45.573087,-93.225843,MN
13,44.166602,-94.003237,MN
14,44.165387,-94.00225,MN
15,44.165371,-94.002319,MN
16,44.165387,-94.00225,MN
17,46.84126,-96.712714,MN
0,39.41942,-92.43837,MO
1,39.41942,-92.43837,MO
2,39.41942,-92.43837,MO
3,39.41942,-92.43837,MO
4,39.42651,-92.414008,MO
5,38.88656,-94.524146,MO
6,39.394712,-92.408533,MO
0,36.071933,-80.31092,NC
1,35.948933,-77.798249,NC
2,34.21519,-77.900004,NC
0,42.462818,-96.415949,NE
